ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
0.0,0,17.647058,0.0,81,-4.72717623399875,0.07731156043512162,100.0,16.078432,31.764706,17.254902,45,5,12.382
0.0,0,17.647058,0.026547276298182668,81,-4.702085823920972,-0.08663083310334757,100.0,16.078432,31.764706,17.254902,45,5,12.382
0.0,0,17.647058,0.0,81,-4.674893198715762,0.19116708254118586,100.0,16.078432,31.764706,17.254902,45,5,12.363
0.0,0,17.647058,0.0,81,-4.690571901198333,-0.09413813046553794,100.0,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.63299024229526,81,-4.707016908612168,-0.09549229246533535,82.82440683302116,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.51219404444629,81,-4.707726373851735,0.0811697416206797,82.8828038443824,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.65607110763358,81,-4.708870111932382,0.11443897235054049,83.01150563628505,16.078432,31.764706,20.392157,45,5,12.031
1128.0,0,17.254902,30.58820221417262,81,-0.026385288859768277,0.06721490459043053,31.97153816668908,16.078432,31.764706,20.392157,45,5,12.031
1128.0,0,19.215687,30.590617611595853,81,0.06844898631828185,-0.25283959760772123,31.998487895824614,16.078432,31.764706,20.392157,46,2,12.031
1128.0,0,19.215687,30.645880058455667,81,0.008925332135566648,0.08070516598923766,31.923226046518376,16.078432,31.764706,20.392157,46,2,11.894
1128.0,0,19.215687,30.471067068197105,81,0.026602771632142155,-0.15514620775115984,32.079145817737654,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.646275967808464,80,-0.01467232404356771,0.035291416738239524,33.070001274188606,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.781134230719413,80,-0.005578700315581465,-0.21356016530985902,33.005942762780506,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.76427898869229,80,-0.02140661944111065,0.06694832213145954,33.101451708627124,16.078432,31.764706,18.82353,46,2,13.613
1113.25,0,19.215687,31.774916616591515,80,-0.07955125004757606,-0.12098983564610588,33.04207584080268,16.078432,31.764706,18.82353,46,2,13.613
922.5,0,18.82353,35.26638937548965,80,-0.822590278305436,-0.19239519753907824,34.922663678340506,16.078432,31.764706,18.82353,47,7,13.613
922.5,0,18.82353,35.3339782204544,80,-0.8355685603994119,0.10707302047235992,35.03318757056743,16.078432,31.764706,18.82353,47,7,13.613
922.5,0,18.82353,35.350075330579465,80,-0.8487435133385482,0.03624667825151269,34.91370056592539,16.078432,31.764706,18.82353,47,7,13.808
922.5,0,18.82353,35.71531393763709,79,-0.8171107692289431,-0.09209652020893457,35.079060527117655,16.078432,31.764706,18.82353,47,7,13.808
851.5,0,18.82353,35.67062529249573,79,-0.7415013296185511,0.21767682735315963,34.99550666801124,16.078432,31.764706,18.82353,48,7,13.808
851.5,0,18.82353,35.55981363674314,79,-0.7825830850311306,-0.06609786323546137,34.98336238728093,16.078432,31.764706,18.82353,48,7,13.769
851.5,0,18.82353,35.73242917248223,79,-0.7425330871303648,0.004816151095640199,34.93871634100365,16.078432,31.764706,18.82353,48,7,13.769
835.75,0,18.82353,36.54389271997305,79,-0.7689205226929737,0.04033701715179014,36.11002872048066,16.078432,31.764706,18.82353,48,4,13.769
835.75,0,18.82353,36.50926250471903,79,-0.7577732352285452,-0.09294989011929204,35.98609234661381,16.078432,31.764706,18.82353,48,4,13.769
835.75,0,18.82353,36.41781045435795,79,-0.8082769098591372,0.0706704440099894,35.96145049600532,16.078432,31.764706,18.82353,48,4,13.75
835.75,0,18.82353,36.51101666362006,79,-0.7655314713742198,-0.08001785207470867,35.96830798045606,16.078432,31.764706,18.82353,48,4,13.75
831.25,0,18.82353,37.306533782477686,80,-0.7593885729777696,-0.06174574833243138,37.0479078266998,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.348430974867945,80,-0.7985494187670108,0.20439639597050116,37.03288996579277,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.202335404546325,80,-0.764463788881515,-0.15608790787686497,37.03714593504364,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.63347272492736,80,-0.764264367242755,-1.9244170496394235,37.03877389027071,16.078432,31.764706,18.82353,48,1,13.75
837.5,0,18.82353,37.69189632306861,80,-0.7977365786339025,-1.3208594507482159,37.19274828407834,16.078432,31.764706,18.82353,48,0,13.75
837.5,0,18.82353,37.65050460428629,80,-0.8149330529681298,-1.1801008071089496,36.96342264852539,16.078432,31.764706,18.82353,48,0,13.339
837.5,0,18.82353,37.580020343876924,80,-0.8167738499569481,-1.6232903898173998,36.95389815438356,16.078432,31.764706,18.82353,48,0,13.339
633.5,0,19.215687,48.2601709771016,80,-2.341154833742356,-1.8530257060930277,48.92676045445769,16.078432,31.764706,18.82353,48,7,13.339
633.5,0,19.215687,48.27001369802891,80,-2.3339397039363208,-1.6090725964293915,49.0554381480318,16.078432,31.764706,18.82353,48,7,13.339
633.5,0,19.215687,48.24057177377986,80,-2.3675257749137373,-1.6054334424761003,49.10160750634488,16.078432,31.764706,19.215687,48,7,13.808
633.5,0,19.215687,48.2484690956308,80,-2.342952439760217,-1.5909885761533387,48.98974472881106,16.078432,31.764706,19.215687,48,7,13.808
624.0,0,19.215687,51.35702464589885,81,-1.5453838889158455,1.3954917937117228,53.92438591707337,16.078432,31.764706,19.215687,48,7,13.808
624.0,0,19.215687,51.46124373614296,81,-1.543954278560041,1.6494341713714715,53.92579669058779,16.078432,31.764706,19.215687,48,7,13.808
624.0,0,19.215687,51.318505468977236,81,-1.5159435963963253,1.6411761062929129,54.058553350904226,16.078432,31.764706,19.215687,48,7,13.789
624.0,0,19.215687,46.63142875423417,81,-2.3054405750340585,-0.22416084297289599,54.06689287540831,16.078432,31.764706,19.215687,48,7,13.789
906.25,5,20.784313,46.66732713081165,81,-2.3737887429826965,0.10487950975423317,52.048883884147465,16.078432,31.764706,19.215687,48,4,13.789
906.25,5,20.784313,46.71940524166205,81,-2.2932424137138594,0.30790274729188366,51.94010412634402,16.078432,31.764706,19.215687,48,4,13.75
906.25,5,20.784313,46.57682560979433,81,-2.3596792951366714,0.025794049865558978,52.020894519076,19.607843,35.294117,20.0,48,4,13.75
1194.5,9,19.215687,31.686088195014072,81,0.031346184373632825,-6.300598774310276,30.010501722822667,19.607843,35.294117,20.0,48,19,13.75
1194.5,9,19.215687,31.642442289535918,81,0.0020395987815326655,-6.271300482161128,30.019681973705612,19.607843,35.294117,20.0,48,19,13.75
1194.5,9,19.215687,31.766667713515197,81,-0.012364481353709027,-6.157711484954715,30.07842859001534,16.078432,31.764706,19.215687,48,19,13.417
1194.5,9,19.215687,31.69760765096761,81,-0.054230905793247984,-6.509600740826083,30.02012359938972,16.078432,31.764706,19.215687,48,19,13.417
716.25,9,19.215687,51.74163299339892,81,-2.3488969353064904,-0.7565913945534046,51.06110222067647,16.078432,31.764706,19.215687,48,7,13.417
716.25,9,19.215687,51.8043886913935,81,-2.3905314970591682,-0.8398195924194215,51.006082116254,16.078432,31.764706,19.215687,48,7,13.417
