ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
0.0,0,17.647058,0.0,81,-5.008267361079261,0.05368928764640448,101,16.078432,31.764706,17.254902,45,5,12.382
0.0,0,17.647058,0.0,81,-4.674680017199247,-0.005389460137176745,101,16.078432,31.764706,17.254902,45,5,12.382
0.0,0,17.647058,0.0,81,-4.539321740824655,-0.14786243745122313,101,16.078432,31.764706,17.254902,45,5,12.363
0.0,0,17.647058,0.0,81,-4.656976161286869,-0.12968740969277856,101,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.627449,81,-4.514751221735334,-0.6600328883080142,83,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.627449,81,-4.104880155499206,0.9624252890128691,83,16.078432,31.764706,17.254902,45,5,12.363
245.25,0,17.254902,88.627449,81,-4.98326467213288,0.2592579219020196,83,16.078432,31.764706,20.392157,45,5,12.031
1128.0,0,17.254902,30.588236,81,0.189094594929172,-0.009490544008898386,32,16.078432,31.764706,20.392157,45,5,12.031
1128.0,0,19.215687,30.588236,81,-0.33322709146359286,-0.15527117807564572,32,16.078432,31.764706,20.392157,46,2,12.031
1128.0,0,19.215687,30.588236,81,0.06874891629053594,-0.30309313777843605,32,16.078432,31.764706,20.392157,46,2,11.894
1128.0,0,19.215687,30.588236,81,-0.10248874185697154,0.2828113827308949,32,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.764706,80,0.2647517913377144,-0.5356310305430517,33,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.764706,80,-0.17205603871700467,-0.6110385879966374,33,16.078432,31.764706,19.215687,46,2,11.894
1113.25,0,19.215687,31.764706,80,0.10389863980367203,-0.6190696209659232,33,16.078432,31.764706,18.82353,46,2,13.613
1113.25,0,19.215687,31.764706,80,-0.2530287435099044,0.7709441662648217,33,16.078432,31.764706,18.82353,46,2,13.613
922.5,0,18.82353,35.294117,80,-1.2130778022592685,0.36472747190877236,35,16.078432,31.764706,18.82353,47,7,13.613
922.5,0,18.82353,35.294117,80,-0.6943032100016552,0.0174428815352215,35,16.078432,31.764706,18.82353,47,7,13.613
922.5,0,18.82353,35.294117,80,-0.4345921360108196,-0.22216877138237542,35,16.078432,31.764706,18.82353,47,7,13.808
922.5,0,18.82353,35.686275,79,-0.677223168752896,0.46086395069134994,35,16.078432,31.764706,18.82353,47,7,13.808
851.5,0,18.82353,35.686275,79,-0.9816831587508881,0.44114387966386603,35,16.078432,31.764706,18.82353,48,7,13.808
851.5,0,18.82353,35.686275,79,-0.7275808919215728,-0.9263967833111341,35,16.078432,31.764706,18.82353,48,7,13.769
851.5,0,18.82353,35.686275,79,-0.6278150599039808,0.013442066074140792,35,16.078432,31.764706,18.82353,48,7,13.769
835.75,0,18.82353,36.470589,79,-0.5429955946426686,-0.552496331984458,36,16.078432,31.764706,18.82353,48,4,13.769
835.75,0,18.82353,36.470589,79,-1.0127321614593896,-0.5378141320753471,36,16.078432,31.764706,18.82353,48,4,13.769
835.75,0,18.82353,36.470589,79,-0.6419941209488915,0.9930798690438064,36,16.078432,31.764706,18.82353,48,4,13.75
835.75,0,18.82353,36.470589,79,-0.7109732628415741,0.9044377561038859,36,16.078432,31.764706,18.82353,48,4,13.75
831.25,0,18.82353,37.254902,80,-0.7877330166022515,0.21089052346865234,37,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.254902,80,-0.7786136841762521,-0.2013023422150771,37,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.254902,80,-0.9170999939390225,0.5629000683205455,37,16.078432,31.764706,18.82353,48,1,13.75
831.25,0,18.82353,37.64706,80,-0.9053564055053459,-0.6820054630532617,37,16.078432,31.764706,18.82353,48,1,13.75
837.5,0,18.82353,37.64706,80,-0.5150071566864141,-1.5651056235675902,37,16.078432,31.764706,18.82353,48,0,13.75
837.5,0,18.82353,37.64706,80,-0.7294822974464651,-2.1969733626446417,37,16.078432,31.764706,18.82353,48,0,13.339
837.5,0,18.82353,37.64706,80,-0.8775467834239215,-0.7344158468850797,37,16.078432,31.764706,18.82353,48,0,13.339
633.5,0,19.215687,48.235294,80,-2.8421079236596505,-2.3453788574169643,49,16.078432,31.764706,18.82353,48,7,13.339
633.5,0,19.215687,48.235294,80,-2.5190627548139974,-2.7119683636210916,49,16.078432,31.764706,18.82353,48,7,13.339
